transaction_id,order_date,store_id,product_id,quantity,unit_price,discount_percent,revenue
1,2023-11-14,7,16,1,618,0,618.0
2,2023-11-14,20,2,3,341,10,920.7
3,2023-10-23,15,30,3,1745,5,4973.25
4,2023-10-18,11,20,1,1237,5,1175.1499999999999
5,2023-10-01,8,38,5,918,25,3442.5
6,2023-09-25,7,28,5,401,0,2005.0
7,2023-10-03,19,25,3,1399,20,3357.6000000000004
8,2023-11-06,11,32,2,1219,10,2194.2000000000003
9,2023-10-08,11,10,4,1417,25,4251.0
10,2023-11-26,4,42,2,800,5,1520.0
11,2023-09-21,8,40,5,1483,10,6673.5
12,2023-09-03,3,33,2,387,20,619.2
13,2023-09-07,2,13,4,253,5,961.4
14,2023-11-07,12,41,2,1693,0,3386.0
15,2023-09-17,6,42,2,522,10,939.6
16,2023-11-28,2,47,2,949,25,1423.5
17,2023-09-27,1,37,2,149,0,298.0
18,2023-09-11,12,16,1,1330,20,1064.0
19,2023-09-12,12,45,5,663,20,2652.0
20,2023-09-30,17,22,4,953,10,3430.8
21,2023-11-27,10,20,5,982,20,3928.0
22,2023-11-25,16,50,1,761,15,646.85
23,2023-09-05,15,43,1,664,25,498.0
24,2023-10-19,15,27,1,312,10,280.8
25,2023-09-16,19,41,1,1189,15,1010.65
26,2023-11-05,12,16,2,1355,20,2168.0
27,2023-11-14,20,34,5,910,10,4095.0
28,2023-09-16,3,32,3,949,15,2419.95
29,2023-11-18,5,26,4,1786,20,5715.200000000001
30,2023-09-16,19,25,1,1840,5,1748.0
31,2023-09-06,7,2,5,1443,5,6854.25
32,2023-09-19,9,12,1,1890,0,1890.0
33,2023-11-19,7,40,1,1260,5,1197.0
34,2023-11-26,18,9,1,980,15,833.0
35,2023-11-12,4,12,1,1770,25,1327.5
36,2023-09-29,14,26,1,1689,5,1604.55
37,2023-09-22,18,9,4,1188,10,4276.8
38,2023-11-12,9,10,5,1637,10,7366.5
39,2023-10-13,2,32,1,1255,10,1129.5
40,2023-09-05,20,34,1,433,5,411.34999999999997
41,2023-11-26,15,48,1,131,5,124.44999999999999
42,2023-10-02,7,20,1,967,0,967.0
43,2023-10-06,12,39,2,997,25,1495.5
44,2023-10-31,8,2,2,1995,25,2992.5
45,2023-09-12,15,1,3,1621,20,3890.4
46,2023-10-23,3,36,1,1366,0,1366.0
47,2023-11-12,14,24,3,1315,15,3353.25
48,2023-09-10,17,27,4,1265,10,4554.0
